Date;Equal Weights;Markowitz;Risk Parity;Goal-Based Investing;Benchmark (IBOVESPA)
2020-12-16;100000,0;100000,0;100000,0;100000,0;100000,0
2020-12-17;100222,68052401775;100222,68052401775;100222,68052401775;100231,66247161597;100178,04607154062
2020-12-18;100054,22773019892;100054,22773019892;100054,22773019892;100103,46868603268;99772,77929917676
2020-12-21;99395,82100789771;99395,82100789771;99395,82100789771;99542,81110537115;98362,82398026233
2020-12-22;99660,3453981648;99660,3453981648;99660,3453981648;99794,6575630733;98644,30634098366
2020-12-23;100653,20229272188;100653,20229272188;100653,20229272188;100763,84414449282;99923,69454076831
2020-12-28;101770,2246738292;101770,2246738292;101770,2246738292;101823,50861529514;100936,01363324205
2020-12-29;101844,6783926279;101844,6783926279;101844,6783926279;101886,46686979324;101295,4971300669
2020-12-30;101904,28469738209;101904,28469738209;101904,28469738209;101935,58104379648;101152,21243439849
2021-01-04;102543,86896040502;102543,86896040502;102543,86896040502;102776,0997598557;100518,02928433957
2021-01-05;102888,76369298034;102888,76369298034;102888,76369298034;103088,06907805322;101081,84184421816
2021-01-06;102775,12518894271;102775,12518894271;102775,12518894271;102959,13010293558;101614,28438196816
2021-01-07;104427,29933298501;104427,29933298501;104427,29933298501;104461,2123351209;103398,98428955376
2021-01-08;104930,90915324936;104930,90915324936;104930,90915324936;104783,66575040299;106045,08804802156
2021-01-11;104831,03503909778;104831,03503909778;104831,03503909778;104716,45013835242;104120,49479851118
2021-01-12;104473,87291748432;104473,87291748432;104473,87291748432;104290,62527390121;105130,2703756772
2021-01-13;103485,5332918324;103485,5332918324;103485,5332918324;103321,86135330528;103470,20271817
2021-01-14;103683,09532731454;103683,09532731454;103683,09532731454;103427,4922455851;104691,93790431293
2021-01-15;102760,32785298477;102760,32785298477;102760,32785298477;102666,09546119759;102166,22720374403
2021-01-18;102947,46684629713;102947,46684629713;102947,46684629713;102837,12029214387;102793,6276463157
2021-01-19;103074,40080373806;103074,40080373806;103074,40080373806;102949,49980692622;102311,20757628424
2021-01-20;103000,73218241443;103000,73218241443;103000,73218241443;102939,90047120457;101493,04348563334
2021-01-21;102729,61339185313;102729,61339185313;102729,61339185313;102735,96953755882;100420,52786421016
2021-01-22;102781,39914854048;102781,39914854048;102781,39914854048;102828,92262339045;99342,92521217153
2021-01-26;101572,8251882929;101572,8251882929;101572,8251882929;101656,27363269677;98742,65559954892
2021-01-27;100872,54038098543;100872,54038098543;100872,54038098543;101019,31916320212;98249,21362985065
2021-01-28;102971,17699037325;102971,17699037325;102971,17699037325;102928,1031765796;101158,99514188574
